"","ID","US_200BPS","US_200SCLASS","count"
"310",2,406,6,37
"311",2,406,7,1
"312",2,406,132,92
"313",2,1111,132,7596
"314",2,1112,132,1327
"315",2,1114,1,1760
"316",2,1114,3,419
"317",2,1114,4,5
"318",2,1114,5,2
"319",2,1114,7,27
"320",2,1114,132,1955
"321",2,1115,1,39
"322",2,1115,7,2
"323",2,1124,1,15
"324",2,1124,2,4347
"325",2,1124,3,4860
"326",2,1124,7,91
"327",2,1124,132,147
"328",2,1125,2,71
"329",2,1125,7,10
"330",2,1125,132,21
"331",2,1126,1,5
"332",2,1126,2,111
"333",2,1126,3,855
"334",2,1126,7,18
"335",2,1126,132,1
"336",2,1128,1,766
"337",2,1128,2,92007
"338",2,1128,3,47823
"339",2,1128,6,4538
"340",2,1128,7,2597
"341",2,1128,132,37580
"342",2,1128,180,26
"343",2,1129,1,41
"344",2,1129,2,5117
"345",2,1129,3,3031
"346",2,1129,6,6
"347",2,1129,7,151
"348",2,1129,180,6
"349",2,1130,2,345
"350",2,1130,3,11
"351",2,1130,5,2
"352",2,1130,7,2
"353",2,1130,132,1176
"354",2,1131,1,583
"355",2,1131,2,16
"356",2,1131,3,1
"357",2,1131,5,42
"358",2,1131,7,6
"359",2,1131,132,1802
"360",2,1132,1,3
"361",2,1133,3,300
"362",2,1133,132,87
"363",2,1135,1,186
"364",2,1137,4,1
"365",2,1139,1,195
"366",2,1139,2,785
"367",2,1139,3,3761
"368",2,1139,7,107
"369",2,1139,132,55
"370",2,1139,180,8
"371",2,1140,1,102
"372",2,1140,2,7
"373",2,1140,3,1635
"374",2,1140,4,54
"375",2,1140,7,85
"376",2,1140,132,4159
"377",2,1142,1,65
"378",2,1142,2,29
"379",2,1142,3,15
"380",2,1142,7,7
"381",2,1143,1,78
"382",2,1143,2,1083
"383",2,1143,7,75
"384",2,1143,132,747
"385",2,1143,180,35
"386",2,1180,120,20
"387",2,1180,132,11216
"388",2,1182,1,29747
"389",2,1182,2,1055
"390",2,1182,3,28252
"391",2,1182,4,22602
"392",2,1182,5,2586
"393",2,1182,7,191
"394",2,1182,120,809
"395",2,1182,132,70641
"396",2,1183,1,33
"397",2,1183,2,97
"398",2,1183,3,466
"399",2,1183,4,479
"400",2,1183,7,1
"401",2,1183,132,792
"402",2,1184,1,1651
"403",2,1184,2,1123
"404",2,1184,3,22
"405",2,1184,4,879
"406",2,1184,7,3
"407",2,1184,120,14
"408",2,1184,132,5
"409",2,1185,1,110
"410",2,1185,2,122
"411",2,1185,3,15
"412",2,1185,4,146
"413",2,1185,132,485
"414",2,1186,1,4
"415",2,1186,2,274
"416",2,1186,3,187
"417",2,1186,6,29
"418",2,1186,132,422
"419",2,1188,1,131
"420",2,1188,2,189
"421",2,1188,3,234
"422",2,1188,4,241
"423",2,1188,5,857
"424",2,1188,7,3
"425",2,1188,120,12
"426",2,1188,132,560
"427",2,1189,1,21
"428",2,1189,2,299
"429",2,1189,3,10
"430",2,1189,120,4
"431",2,1189,132,54
"432",2,1190,1,8793
"433",2,1190,2,32084
"434",2,1190,3,31529
"435",2,1190,4,5959
"436",2,1190,5,85131
"437",2,1190,6,55
"438",2,1190,7,50
"439",2,1190,120,3031
"440",2,1190,132,3536
"441",2,1191,2,10
"442",2,1191,3,19
"443",2,1191,4,132
"444",2,1191,5,116
"445",2,1193,1,12
"446",2,1193,2,5
"447",2,1193,3,131
"448",2,1193,4,71
"449",2,1193,120,23
"450",2,1193,132,28
"451",2,1196,1,304
"452",2,1196,2,5440
"453",2,1196,3,24086
"454",2,1196,6,7580
"455",2,1196,7,107
"456",2,1196,120,1
"457",2,1196,132,11649
"458",2,1197,1,35109
"459",2,1197,2,10009
"460",2,1197,6,915
"461",2,1197,7,372
"462",2,1197,132,25337
"463",2,1198,1,40
"464",2,1198,2,8961
"465",2,1198,6,418
"466",2,1198,7,16
"467",2,1198,132,3227
"468",2,1199,2,121
"469",2,1199,6,15
"470",2,1199,132,49
"471",2,1200,1,20
"472",2,1200,2,3
"473",2,1200,132,4
"474",2,1201,2,105
"475",2,1201,3,52
"476",2,1201,4,4
"477",2,1201,5,1
"478",2,1201,132,144
"479",2,1202,1,456
"480",2,1202,2,4755
"481",2,1202,3,681
"482",2,1202,4,3819
"483",2,1202,6,1
"484",2,1202,7,7
"485",2,1202,120,76
"486",2,1202,132,9676
"487",2,1203,1,328
"488",2,1203,2,51
"489",2,1203,3,24
"490",2,1203,4,2216
"491",2,1203,6,4
"492",2,1203,7,7
"493",2,1203,120,15
"494",2,1203,132,834
"495",2,1204,1,1
"496",2,1204,2,6
"497",2,1204,3,6
"498",2,1204,132,1
"499",2,1205,3,1
"500",2,1205,132,2
"501",2,1206,1,20
"502",2,1206,2,48
"503",2,1206,132,31
"504",2,1207,1,3706
"505",2,1207,2,23
"506",2,1207,3,14676
"507",2,1207,4,16991
"508",2,1207,5,248
"509",2,1207,120,14
"510",2,1207,132,9
"511",2,1208,4,17
"512",2,1209,1,1289
"513",2,1209,2,1410
"514",2,1209,3,60720
"515",2,1209,6,64
"516",2,1209,7,38
"517",2,1209,120,486
"518",2,1209,132,3379
"519",2,1210,1,13
"520",2,1210,2,156
"521",2,1210,3,614
"522",2,1210,4,686
"523",2,1210,120,26
"524",2,1210,132,29
"525",2,1211,1,102
"526",2,1211,2,61
"527",2,1211,3,1451
"528",2,1211,6,13
"529",2,1211,7,3
"530",2,1211,120,3
"531",2,1212,1,3
"532",2,1212,2,20
"533",2,1212,3,1
"534",2,1212,4,15
"535",2,1212,120,6
"536",2,1213,1,135
"537",2,1213,2,510
"538",2,1213,3,291
"539",2,1213,7,55
"540",2,1213,120,1
"541",2,1213,132,52
"542",2,1214,1,1349
"543",2,1214,2,18440
"544",2,1214,3,15519
"545",2,1214,7,12
"546",2,1214,120,208
"547",2,1214,132,385
"548",2,2704,1,58
"549",2,2704,2,661
"550",2,2704,3,3369
"551",2,2704,6,2992
"552",2,2704,7,18
"553",2,2704,132,4000
"554",2,2705,1,4581
"555",2,2705,2,5149
"556",2,2705,3,34931
"557",2,2705,4,69060
"558",2,2705,5,131787
"559",2,2705,6,4011
"560",2,2705,7,88
"561",2,2705,120,2516
"562",2,2705,132,10830
"563",2,2714,1,228
"564",2,2714,2,9111
"565",2,2714,3,39699
"566",2,2714,6,192
"567",2,2714,7,1042
"568",2,2714,132,2912
"569",2,2714,180,1
"570",2,2715,1,36
"571",2,2715,2,1603
"572",2,2715,3,9346
"573",2,2715,4,318
