"","ID","US_200BPS","US_220SCLASS","count"
"334",5,1185,2,31
"335",5,1185,3,10
"336",5,1185,4,6
"337",5,1185,7,1
"338",5,1185,120,35
"339",5,1188,1,3
"340",5,1188,2,8
"341",5,1188,3,6
"342",5,1188,5,2
"343",5,1190,1,2785
"344",5,1190,2,14332
"345",5,1190,3,12459
"346",5,1190,4,147
"347",5,1190,5,9827
"348",5,1190,7,33
"349",5,1190,120,16
"350",5,1190,132,37
"351",5,1193,1,4
"352",5,1193,2,7
"353",5,1193,3,11
"354",5,1193,4,11
"355",5,1202,1,114
"356",5,1202,2,181
"357",5,1202,3,94
"358",5,1202,4,342
"359",5,1202,7,2
"360",5,1202,120,4
"361",5,1203,1,571
"362",5,1203,2,168
"363",5,1203,4,578
"364",5,1203,7,2
"365",5,1203,120,32
"366",5,1203,132,16
"367",5,1207,1,16570
"368",5,1207,2,108
"369",5,1207,3,8452
"370",5,1207,4,2774
"371",5,1207,5,89
"372",5,1207,7,26
"373",5,1207,120,31
"374",5,1208,4,1
"375",5,1208,6,26
"376",5,1209,1,10535
"377",5,1209,2,15
"378",5,1209,3,35178
"379",5,1209,6,37
"380",5,1209,7,12
"381",5,1209,120,756
"382",5,1209,132,327
"383",5,1210,2,131
"384",5,1210,3,184
"385",5,1210,4,266
"386",5,1210,7,2
"387",5,1210,120,1
"388",5,1211,1,50
"389",5,1211,2,154
"390",5,1211,3,307
"391",5,1211,7,3
"392",5,1211,120,2
"393",5,1214,1,237
"394",5,1214,2,3382
"395",5,1214,3,600
"396",5,1214,7,4
"397",5,1214,120,42
"398",5,1214,132,10
"399",5,2705,1,2698
"400",5,2705,2,3
"401",5,2705,3,2725
"402",5,2705,4,985
"403",5,2705,5,594
"404",5,2705,120,199
"405",5,2705,132,1
"406",6,11,111,4
"407",6,31,132,438
"408",6,381,1,68
"409",6,381,6,76
"410",6,381,132,1
"411",6,384,132,256
"412",6,1182,1,4
"413",6,1182,4,8
"414",6,1185,1,7
"415",6,1188,1,6287
"416",6,1188,2,333
"417",6,1188,3,3534
"418",6,1188,4,1774
"419",6,1188,5,1029
"420",6,1188,7,18
"421",6,1188,132,90
"422",6,1189,1,230
"423",6,1189,2,190
"424",6,1189,3,130
"425",6,1189,132,2
"426",6,1190,1,8872
"427",6,1190,2,9975
"428",6,1190,3,20515
"429",6,1190,4,1293
"430",6,1190,5,47202
"431",6,1190,6,67
"432",6,1190,7,195
"433",6,1190,120,1016
"434",6,1190,132,221
"435",6,1191,1,2021
"436",6,1191,2,9
"437",6,1191,3,694
"438",6,1191,4,857
"439",6,1191,5,95
"440",6,1191,7,17
"441",6,1191,120,1
"442",6,1191,132,335
"443",6,1193,1,2570
"444",6,1193,2,272
"445",6,1193,3,1942
"446",6,1193,4,2835
"447",6,1193,7,3
"448",6,1193,120,23
"449",6,1193,132,58
"450",6,1197,1,1
"451",6,1197,2,16
"452",6,1202,1,14
"453",6,1202,2,2
"454",6,1202,3,1
"455",6,1202,4,14
"456",6,1202,7,2
"457",6,1202,132,1
"458",6,1203,1,361
"459",6,1203,2,58
"460",6,1203,3,4
"461",6,1203,4,256
"462",6,1203,7,3
"463",6,1203,120,3
"464",6,1203,132,14
"465",6,1204,1,1
"466",6,1207,1,589
"467",6,1207,2,6
"468",6,1207,3,603
"469",6,1207,4,1218
"470",6,1207,5,17
"471",6,1207,7,8
"472",6,1207,120,80
"473",6,1207,132,2
"474",6,1208,2,61
"475",6,1208,4,1
"476",6,1208,6,1
"477",6,1208,132,2
"478",6,1209,1,179
"479",6,1209,3,93
"480",6,1209,120,3
"481",6,1209,132,1
"482",6,1210,1,1
"483",6,1210,2,130
"484",6,1210,3,1
"485",6,1210,4,10
"486",6,1210,120,2
"487",6,1211,1,261
"488",6,1211,2,4168
"489",6,1211,3,4588
"490",6,1211,6,24
"491",6,1211,7,34
"492",6,1211,120,173
"493",6,1214,1,165
"494",6,1214,2,385
"495",6,1214,3,327
"496",6,1214,7,9
"497",6,1214,120,5
"498",6,1214,132,1
"499",6,1215,1,15
"500",6,1215,2,68
"501",6,1215,7,4
"502",6,2705,1,3
"503",6,2705,3,3
"504",6,2705,4,18
"505",6,2705,5,3
"506",6,2705,6,3
"507",6,2705,132,17
"508",7,31,132,113
"509",7,384,132,30
"510",7,1181,1,30
"511",7,1181,2,35
"512",7,1181,3,537
"513",7,1181,7,3
"514",7,1181,120,4
"515",7,1185,1,104
"516",7,1185,2,2
"517",7,1185,120,3
"518",7,1185,132,4
"519",7,1188,1,918
"520",7,1188,2,255
"521",7,1188,3,195
"522",7,1188,4,100
"523",7,1188,5,894
"524",7,1188,120,30
"525",7,1188,132,37
"526",7,1189,1,321
"527",7,1189,2,776
"528",7,1189,3,52
"529",7,1189,7,1
"530",7,1189,120,22
"531",7,1189,132,26
"532",7,1190,1,8095
"533",7,1190,2,5454
"534",7,1190,3,12084
"535",7,1190,4,426
"536",7,1190,5,11026
"537",7,1190,6,353
"538",7,1190,7,23
"539",7,1190,120,1935
"540",7,1190,132,102
"541",7,1191,1,870
"542",7,1191,2,208
"543",7,1191,3,205
"544",7,1191,4,97
"545",7,1191,5,795
"546",7,1191,120,9
"547",7,1191,132,79
"548",7,1193,1,5887
"549",7,1193,2,2498
"550",7,1193,3,15253
"551",7,1193,4,3394
"552",7,1193,7,33
"553",7,1193,120,661
"554",7,1193,132,142
"555",7,1197,1,2
"556",7,1197,2,26
"557",7,1202,1,32
"558",7,1202,2,3
"559",7,1202,3,3
"560",7,1202,4,23
"561",7,1202,132,5
"562",7,1203,1,252
"563",7,1203,2,11
"564",7,1203,4,77
"565",7,1203,7,1
"566",7,1203,120,21
"567",7,1203,132,37
"568",7,1207,1,2321
"569",7,1207,2,16
"570",7,1207,3,823
"571",7,1207,4,655
"572",7,1207,5,59
"573",7,1207,7,8
"574",7,1207,120,181
"575",7,1207,132,14
"576",7,1208,2,25
"577",7,1208,4,17
"578",7,1208,6,3
"579",7,1208,7,2
"580",7,1208,120,2
"581",7,1209,1,433
"582",7,1209,3,208
"583",7,1209,7,1
"584",7,1209,120,38
"585",7,1209,132,5
"586",7,1210,2,82
"587",7,1210,3,1
"588",7,1210,4,32
"589",7,1210,7,2
"590",7,1210,120,2
"591",7,1211,1,92
"592",7,1211,2,8924
"593",7,1211,3,3769
"594",7,1211,6,81
"595",7,1211,7,41
"596",7,1211,120,783
"597",7,1212,120,4
"598",7,1213,120,2
"599",7,1214,1,434
"600",7,1214,2,846
"601",7,1214,3,289
"602",7,1214,7,10
"603",7,1214,120,112
"604",7,1214,132,10
"605",7,1215,1,163
"606",7,1215,2,611
"607",7,1215,7,69
"608",7,1215,120,66
"609",7,1215,132,1
"610",7,2705,1,18
"611",7,2705,4,23
"612",7,2705,5,4
"613",7,2705,132,8
"614",8,11,111,6
"615",8,31,132,7
"616",8,381,6,4
"617",8,384,120,3
"618",8,384,132,6
"619",8,1181,1,19
"620",8,1181,2,44
"621",8,1181,3,195
"622",8,1181,7,2
"623",8,1181,120,1
"624",8,1185,1,4
"625",8,1185,2,2
"626",8,1185,4,1
"627",8,1185,120,2
"628",8,1188,1,9
"629",8,1188,2,55
"630",8,1188,3,3
"631",8,1188,4,10
"632",8,1188,5,375
"633",8,1189,1,208
"634",8,1189,2,396
"635",8,1189,3,13
"636",8,1189,7,10
"637",8,1190,1,1718
"638",8,1190,2,13684
"639",8,1190,3,3929
"640",8,1190,4,661
"641",8,1190,5,42351
"642",8,1190,6,139
"643",8,1190,7,38
"644",8,1190,120,3233
"645",8,1190,132,2
"646",8,1191,1,845
"647",8,1191,2,36
"648",8,1191,3,95
"649",8,1191,4,120
"650",8,1191,5,187
"651",8,1191,7,9
"652",8,1192,1,2
"653",8,1192,2,2
"654",8,1192,3,5
"655",8,1192,4,1
"656",8,1192,5,18
"657",8,1193,1,3995
"658",8,1193,2,1951
"659",8,1193,3,10453
"660",8,1193,4,3500
"661",8,1193,7,164
"662",8,1193,120,181
"663",8,1193,132,3
"664",8,1197,1,12
"665",8,1197,2,58
"666",8,1197,6,9
"667",8,1202,1,1
"668",8,1202,4,11
"669",8,1203,1,51
"670",8,1203,2,30
"671",8,1203,3,1
"672",8,1203,4,293
"673",8,1203,120,135
"674",8,1207,1,2588
"675",8,1207,2,109
"676",8,1207,3,2229
"677",8,1207,4,8335
"678",8,1207,5,671
"679",8,1207,7,33
"680",8,1207,120,735
"681",8,1207,132,2
"682",8,1208,2,15
"683",8,1208,4,4
"684",8,1208,6,2
"685",8,1209,1,60
"686",8,1209,3,157
"687",8,1209,120,30
"688",8,1209,132,18
"689",8,1210,2,4
"690",8,1210,4,4
"691",8,1210,120,3
"692",8,1211,1,30
"693",8,1211,2,1771
"694",8,1211,3,3286
"695",8,1211,6,94
"696",8,1211,7,293
"697",8,1211,120,459
"698",8,1211,180,1
"699",8,1214,1,56
"700",8,1214,2,490
"701",8,1214,3,1225
"702",8,1214,120,99
"703",8,1214,132,1
"704",8,1215,1,55
"705",8,1215,2,509
"706",8,1215,7,73
"707",8,1215,120,4
"708",8,2705,132,9
"709",9,11,111,3010
"710",9,31,132,12522
"711",9,381,1,1
"712",9,381,6,6
"713",9,381,132,2
"714",9,384,120,269
"715",9,384,132,342
"716",9,1111,120,1
"717",9,1111,132,42
"718",9,1114,1,5
"719",9,1114,2,5
"720",9,1114,3,11
"721",9,1114,4,3
"722",9,1114,5,1
"723",9,1114,132,582
"724",9,1116,2,6
"725",9,1116,4,1
"726",9,1118,1,9
"727",9,1118,132,1
"728",9,1120,1,1317
"729",9,1120,2,4121
"730",9,1120,3,28320
"731",9,1120,4,267
"732",9,1120,5,105
"733",9,1120,7,2
"734",9,1120,120,808
"735",9,1120,132,1877
"736",9,1132,1,76
"737",9,1132,2,26
"738",9,1132,4,302
"739",9,1132,132,72
"740",9,1135,1,16
"741",9,1135,2,2
"742",9,1137,1,1
"743",9,1137,4,3
"744",9,1140,1,1
"745",9,1140,2,3
"746",9,1140,3,9
"747",9,1140,4,1
